Pathway	Mark	Adult_Peaks	Neonate_Peaks	Total_Adult_Peaks	Total_Neonate_Peaks	Prop_Adult	Prop_Neonate	Log2_FC	Odds_Ratio	P_Value	Direction	FDR
HALLMARK_PROTEIN_SECRETION	H3K27	6	21	2370	12887	0.002531645569620253	0.0016295491580662683	0.6356025675642849	1.5549915397631133	0.2961268466467413	Adult > Neonate	1.0
HALLMARK_PEROXISOME	H3K27	2	11	2370	12887	0.0008438818565400844	0.0008535733685109025	-0.01647412901540826	0.9886363636363636	1.0	Neonate > Adult	1.0
HALLMARK_FATTY_ACID_METABOLISM	H3K27	8	36	2370	12887	0.0033755274261603376	0.002793512842399317	0.27303248817957687	1.2090507103208203	0.67521405312615	Adult > Neonate	1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	H3K27	0	2	2370	12887	0.0	0.00015519515791107317		0.0	1.0	Neonate > Adult	1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE	H3K27	5	43	2370	12887	0.002109704641350211	0.0033366958950880733	-0.6613791701928466	0.631496140419883	0.4256769656333035	Neonate > Adult	1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	H3K27	2	8	2370	12887	0.0008438818565400844	0.0006207806316442927	0.4429574896218891	1.359691722972973	0.6599904863545716	Adult > Neonate	1.0
HALLMARK_KRAS_SIGNALING_DN	H3K27	21	137	2370	12887	0.008860759493670886	0.010630868316908513	-0.2627571705598773	0.8320049221131527	0.5076802907858884	Neonate > Adult	1.0
HALLMARK_ALLOGRAFT_REJECTION	H3K27	10	43	2370	12887	0.004219409282700422	0.0033366958950880733	0.33862082980715336	1.26566811194324	0.4515876092263142	Adult > Neonate	1.0
HALLMARK_MYC_TARGETS_V2	H3K27	0	0	2370	12887	0.0	0.0			1.0	Equal	1.0
HALLMARK_G2M_CHECKPOINT	H3K27	6	22	2370	12887	0.002531645569620253	0.001707146737021805	0.5684883717057481	1.4841947392708814	0.42880533322622216	Adult > Neonate	1.0
HALLMARK_APOPTOSIS	H3K27	9	39	2370	12887	0.0037974683544303796	0.003026305579265927	0.3274802722019531	1.255791222754374	0.5479241150338692	Adult > Neonate	1.0
HALLMARK_COMPLEMENT	H3K27	8	65	2370	12887	0.0033755274261603376	0.005043842632109878	-0.5794103234065653	0.6681169803947111	0.33300711807087424	Neonate > Adult	1.0
HALLMARK_INFLAMMATORY_RESPONSE	H3K27	18	94	2370	12887	0.007594936708860759	0.0072941724218204395	0.05829363938656398	1.0415490664350846	0.8956615270377688	Adult > Neonate	1.0
HALLMARK_ESTROGEN_RESPONSE_LATE	H3K27	16	94	2370	12887	0.006751054852320675	0.0072941724218204395	-0.11163136205574836	0.9250347981706104	0.8949488610287684	Neonate > Adult	1.0
HALLMARK_HEDGEHOG_SIGNALING	H3K27	4	27	2370	12887	0.0016877637130801688	0.002095134631799488	-0.3119300125415794	0.8052346513884976	1.0	Neonate > Adult	1.0
HALLMARK_COAGULATION	H3K4	19	37	5386	7977	0.003527664314890457	0.004638335213739501	-0.39489380410821234	0.7596976518161538	0.3436846508754551	Neonate > Adult	1.0
HALLMARK_HEME_METABOLISM	H3K27	10	52	2370	12887	0.004219409282700422	0.0040350741056879025	0.06444586636815922	1.0458767926988266	0.8607813326637378	Adult > Neonate	1.0
HALLMARK_NOTCH_SIGNALING	H3K4	14	19	5386	7977	0.0025993316004456	0.002381847812460825	0.12605945669117063	1.0915468119293021	0.8596439970850855	Adult > Neonate	1.0
HALLMARK_INFLAMMATORY_RESPONSE	H3K4	68	90	5386	7977	0.012625324916450055	0.011282437006393382	0.16224179299781666	1.1205465713927543	0.5141442761210541	Adult > Neonate	1.0
HALLMARK_KRAS_SIGNALING_UP	H3K4	63	85	5386	7977	0.011696992202005199	0.010655634950482638	0.1345210354393666	1.0988849719861644	0.6133135215974578	Adult > Neonate	1.0
HALLMARK_IL2_STAT5_SIGNALING	H3K4	104	143	5386	7977	0.019309320460453028	0.01792653879904726	0.10720042943985482	1.0786547795256618	0.5565387049967021	Adult > Neonate	1.0
HALLMARK_GLYCOLYSIS	H3K4	82	122	5386	7977	0.015224656516895656	0.015293970164222138	-0.006553284867650403	0.9953978438790396	1.0	Neonate > Adult	1.0
HALLMARK_DNA_REPAIR	H3K4	59	91	5386	7977	0.010954326030449314	0.01140779741757553	-0.058519542759702975	0.9598087289095362	0.867148406508839	Neonate > Adult	1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE	H3K4	43	52	5386	7977	0.00798366134422577	0.006518741381471732	0.2924570846381577	1.2265329187002405	0.3453600254145772	Adult > Neonate	1.0
HALLMARK_PANCREAS_BETA_CELLS	H3K4	4	8	5386	7977	0.0007426661715558856	0.0010028832894571893	-0.4333679519228478	0.7403381642512077	0.7723425504163955	Neonate > Adult	1.0
HALLMARK_COMPLEMENT	H3K4	58	78	5386	7977	0.010768659487560341	0.009778112072207596	0.13921082434247592	1.1024052899052899	0.5985179357829007	Adult > Neonate	1.0
HALLMARK_MTORC1_SIGNALING	H3K4	115	150	5386	7977	0.02135165243223171	0.018804061677322303	0.1833034085256463	1.1384367292733826	0.3117605949159833	Adult > Neonate	1.0
HALLMARK_MITOTIC_SPINDLE	H3K4	109	150	5386	7977	0.020237653174897882	0.018804061677322303	0.10599768235819726	1.077813151411787	0.5652099636773638	Adult > Neonate	1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING	H3K4	33	43	5386	7977	0.006126995915336057	0.005390497680832393	0.18476141273350755	1.1374712723576	0.6392879705424495	Adult > Neonate	1.0
HALLMARK_APOPTOSIS	H3K4	73	94	5386	7977	0.013553657630894913	0.011783878651121975	0.20186775527953182	1.1522500010011574	0.38294293953230435	Adult > Neonate	1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING	H3K4	22	36	5386	7977	0.004084663943557371	0.0045129748025573525	-0.14386133472786314	0.9047042008451405	0.7890696814351421	Neonate > Adult	1.0
HALLMARK_TGF_BETA_SIGNALING	H3K4	25	39	5386	7977	0.004641663572224285	0.004889056036103798	-0.07491398101037151	0.9491627566613576	0.8987732489435305	Neonate > Adult	1.0
HALLMARK_HEME_METABOLISM	H3K4	82	118	5386	7977	0.015224656516895656	0.014792528519493545	0.041541003333394486	1.029664212490733	0.8845540188180092	Adult > Neonate	1.0
HALLMARK_HYPOXIA	H3K4	86	112	5386	7977	0.01596732268845154	0.014040366052400652	0.18554188072164576	1.13947102425876	0.38142282390505833	Adult > Neonate	1.0
HALLMARK_APICAL_SURFACE	H3K4	13	22	5386	7977	0.0024136650575566285	0.002757929046007271	-0.19235985241905312	0.8748709879363146	0.7340934860136585	Neonate > Adult	1.0
HALLMARK_ANGIOGENESIS	H3K4	7	9	5386	7977	0.0012996658002228	0.0011282437006393381	0.2040619686924437	1.1521348453863791	0.8026236006286219	Adult > Neonate	1.0
HALLMARK_SPERMATOGENESIS	H3K4	33	60	5386	7977	0.006126995915336057	0.00752162467092892	-0.2958644281729129	0.8134410610872408	0.3962580426737613	Neonate > Adult	1.0
HALLMARK_HEDGEHOG_SIGNALING	H3K4	17	23	5386	7977	0.0031563312291125138	0.0028832894571894194	0.13053293327047866	1.09499785402512	0.8719966922062707	Adult > Neonate	1.0
HALLMARK_G2M_CHECKPOINT	H3K4	114	159	5386	7977	0.02116598588934274	0.01993230537796164	0.08663910695753835	1.0632318836430268	0.6186215816519948	Adult > Neonate	1.0
HALLMARK_APICAL_SURFACE	H3K27	6	41	2370	12887	0.002531645569620253	0.003181500737177	-0.32963201427503824	0.7952209978952581	0.8394940502805315	Neonate > Adult	1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	H3K27	0	1	2370	12887	0.0	7.759757895553658e-05		0.0	1.0	Neonate > Adult	1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION	H3K4	84	135	5386	7977	0.015595989602673598	0.01692365550959007	-0.11786612619491862	0.9203068024644788	0.5789109889767301	Neonate > Adult	1.0
HALLMARK_XENOBIOTIC_METABOLISM	H3K4	46	69	5386	7977	0.008540660972892685	0.008649868371568259	-0.018330452644004052	0.9872659176029962	1.0	Neonate > Adult	1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS	H3K4	31	40	5386	7977	0.005755662829558114	0.005014416447285947	0.19890026357666488	1.1486788048552754	0.6278017640896942	Adult > Neonate	1.0
HALLMARK_ADIPOGENESIS	H3K4	91	133	5386	7977	0.0168956554028964	0.016672934687225773	0.019144252774658883	1.0135877938472242	0.9452749392991117	Adult > Neonate	1.0
HALLMARK_ESTROGEN_RESPONSE_EARLY	H3K4	77	116	5386	7977	0.014296323802450798	0.014541807697129247	-0.024562406355518884	0.9828739096264638	0.9411627382647939	Neonate > Adult	1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	H3K4	34	56	5386	7977	0.0063126624582250275	0.007020183026200326	-0.1532600327301128	0.8985759662609438	0.6672006636681942	Neonate > Adult	1.0
HALLMARK_UV_RESPONSE_DN	H3K4	61	102	5386	7977	0.011325659116227255	0.012786761940579166	-0.1750559563314575	0.8844241922120961	0.470582991126719	Neonate > Adult	1.0
HALLMARK_PROTEIN_SECRETION	H3K4	40	65	5386	7977	0.007426661715558856	0.008148426726839663	-0.13380767006394007	0.910760021871133	0.6901231531968586	Neonate > Adult	1.0
HALLMARK_UV_RESPONSE_UP	H3K4	77	99	5386	7977	0.014296323802450798	0.01241068070703272	0.2040619686924437	1.1541407672505808	0.3541018349041507	Adult > Neonate	1.0
HALLMARK_PEROXISOME	H3K4	35	60	5386	7977	0.006498329001113999	0.00752162467092892	-0.21097553058639992	0.8630629788824519	0.5298060037555983	Neonate > Adult	1.0
HALLMARK_FATTY_ACID_METABOLISM	H3K4	60	90	5386	7977	0.011139992573338284	0.011282437006393382	-0.018330452644004215	0.9872324446113406	1.0	Neonate > Adult	1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	H3K4	18	31	5386	7977	0.0033419977720014855	0.003886172746646609	-0.21763926086741078	0.8595019470217778	0.6635465152257557	Neonate > Adult	1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	H3K4	51	81	5386	7977	0.009468993687337541	0.010154193305754042	-0.10079261283597717	0.9318754555867957	0.7221061447314379	Neonate > Adult	1.0
HALLMARK_ESTROGEN_RESPONSE_LATE	H3K4	68	91	5386	7977	0.012625324916450055	0.01140779741757553	0.14630024912879483	1.1080923589385416	0.5692753301925282	Adult > Neonate	1.0
HALLMARK_KRAS_SIGNALING_DN	H3K4	36	56	5386	7977	0.006683995544002971	0.007020183026200326	-0.07079787253813973	0.9517890520694259	0.9151379733638909	Neonate > Adult	1.0
HALLMARK_MYC_TARGETS_V2	H3K4	35	42	5386	7977	0.006498329001113999	0.0052651372696502444	0.3035976422433581	1.2357503270416745	0.35414623670571255	Adult > Neonate	1.0
HALLMARK_P53_PATHWAY	H3K4	86	127	5386	7977	0.01596732268845154	0.01592077222013288	0.004212116007084186	1.0029713266973703	1.0	Adult > Neonate	1.0
HALLMARK_TGF_BETA_SIGNALING	H3K27	3	27	2370	12887	0.0012658227848101266	0.002095134631799488	-0.7269675118204234	0.6036708444819978	0.6122794813077617	Neonate > Adult	1.0
HALLMARK_COAGULATION	H3K27	8	48	2370	12887	0.0033755274261603376	0.003724683789865756	-0.14200501109926703	0.9059412926898109	1.0	Neonate > Adult	1.0
