Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
nH3K27_N_R3_2	49.978868788941725	10.575504345497729	2.478685765436223	0.8575568135323145	0.4947845454577917	0.3772519441363233	0.33609423606868294	0.2953884144833992	0.25846816805134404	3.197507603384284	2.1577700049556494	24.93687984407232	2.5856914070513874	1.3109919503316474	0.0778862363601162	0.0806699322388451
nH3K4_A_R1_1	71.50244296960292	13.254573404418368	2.7629670207363315	0.8501967876319804	0.5424505586597043	0.4135395660728713	0.3597491978393067	0.2896742564254876	0.25391815526975936	4.973795052676596	1.4922920373234945	1.1996071952797172	0.8404788650296473	1.1634942188504713	0.10082071418325797	0.0
nH3K4_A_R1_2	72.22033603910911	13.002114373895271	2.647051572340889	0.890887777160416	0.4780390582642112	0.41677582890902426	0.35009917909739957	0.2769591042328557	0.26205276216871165	4.821930616143506	1.3806673614263365	1.1899859459002688	0.8103096508606451	1.0810202743680335	0.09273844970565417	0.07903200641765369
nH3K4_A_R2_1	72.75972480405423	14.105373563195082	2.9185503282765706	0.8588827316020725	0.5500546026498493	0.386081817247438	0.3708207797538583	0.33245839623598084	0.3178246132613656	3.595690461875341	0.5930334835622736	1.2405895853629036	0.6151417650864125	1.242986670637703	0.11278639719889948	0.0
nH3K4_A_R2_2	73.5537705003946	13.603397494476477	2.7864145723644294	0.8866028857246716	0.5501909985853436	0.406964352781537	0.35598378377703166	0.2875872916804524	0.2887999278969938	3.4940685573947423	0.5824329460309698	1.2226939685397873	0.6215538758891195	1.133939876666256	0.22559896779776653	0.0
nH3K4_A_R3_1	73.43029308321437	13.911413543609427	2.953527861763268	0.9196086638307793	0.5886403346871272	0.47159574560786927	0.3413271586582643	0.33207575089152525	0.2672485967532179	2.916181274924765	0.5416107796086056	1.3750949610164445	0.6793025656052586	1.1500331466558622	0.12204653317306649	0.0
nH3K4_A_R3_2	74.22763424431848	13.5808032497061	2.8012528265291974	0.940945020251384	0.612791880151545	0.4292102130316634	0.35155229581518577	0.31925033072567793	0.26439818828175626	2.6754546568875894	0.5272846548523487	1.3246946923223317	0.6276233195246955	1.1379500750840619	0.17915435251797965	0.0
nH3K4_N_R1_1	48.47310686505162	10.080697840360697	2.2794250140946732	0.8003754864263882	0.4766888285890206	0.3687449366250834	0.309951989031459	0.26499713004899217	0.23247486641722914	2.9940746710361816	2.111304653425212	26.519319575962523	3.6909062541443576	1.2629086398370468	0.13502324894960832	0.0
nH3K4_N_R1_2	49.61262832858427	9.86900153760125	2.241508015326996	0.7896753874929394	0.49298483017094297	0.38212118314073956	0.31375182703751786	0.2876764085409397	0.2515766557302515	3.093094661806594	2.138438241609219	25.966020358678676	3.1348641620065565	1.1881861240246836	0.12970026353675135	0.10877201471173492
nH3K4_N_R2_1	50.66750844439538	10.12452292341653	2.273359682484724	0.8351077385284459	0.4653586656653219	0.37179905044479633	0.3126972970643818	0.26460839901892286	0.23182124540522603	3.09717730736395	2.2052977727456686	24.463718399280598	3.3984107086793545	1.2018958298672346	0.0867165356393533	0.0
nH3K4_N_R2_2	51.76121575181983	9.91011165218511	2.229788539896642	0.7574229251438206	0.478325294117645	0.39192552273206405	0.3521002234163445	0.3019127846963945	0.25044586233218546	3.322233788193981	2.2274823458529176	23.840868260063406	2.918044252714338	1.0517635481311471	0.11703663877222785	0.08932260993190073
nH3K4_N_R3_1	52.143841465057136	10.525993079539875	2.397608679085549	0.8213145968573338	0.4958284757213902	0.38253213427296917	0.31865829619702196	0.26011662157031074	0.25194298950166377	3.1433731497795465	2.3444396306698896	23.56935218950889	2.2081171662041648	1.057797238781084	0.07908428725311044	0.0
nH3K4_N_R3_2	53.15271362643438	10.224622466140955	2.376464986350275	0.8009664189424941	0.4965043090684785	0.4031819979946232	0.33958745438515653	0.3035621959360369	0.25350853766138365	3.33539564638382	2.3240260299244713	22.827448390440292	2.0488048898260067	0.989050239215109	0.036619042616134495	0.08754376868047158
nIgG_A_R1_1	66.96677901856276	12.377866675373621	2.487344145493985	0.7879246755863795	0.4517814633558107	0.3699903032135592	0.30425539293141723	0.2324819887257943	0.25321772682095445	3.8503741687917654	2.592331745514446	6.277125708695924	0.7507174996932211	1.745580464037954	0.41650009607196264	0.1357289271304021
nIgG_A_R1_2	67.8964241001301	11.841290371950153	2.443160125124862	0.8360567792789702	0.4639637751810617	0.36378591621182593	0.31143916545596967	0.25889377346365544	0.23324881442319895	3.8838437307016775	2.5037518545810387	5.9607765956492615	0.7840068565432459	1.4169791365373123	0.44320967310519377	0.3591693316623533
nIgG_N_R1_1	44.08066947732894	9.170740093527288	2.1384258074772804	0.7441503430707024	0.40911378005164045	0.3454675529130684	0.2949049364919147	0.26352520714947253	0.24923614561191565	3.0942049609043716	1.3199878946418768	14.734503792048187	16.213139465821854	3.3818054657241685	0.33815934918529045	3.2219657280520266
nIgG_N_R1_2	45.057108777470404	8.947900197767954	2.111204806012417	0.7311172598163442	0.42814414722695293	0.39541334510456777	0.3051048939645511	0.2680685016123311	0.21867979343502164	3.3512710752258834	1.3175471019966423	14.95263171254706	14.857869576808863	3.3943875912942256	0.4518307053085437	3.2117205144081793
