task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1242	a9/19a37c	374865	NFCORE_CUTANDRUN:CUTANDRUN:AWK_NAME_PEAK_BED (H3K27_N_R2)	COMPLETED	0	2025-01-24 04:19:13.664	4.2s	79ms	32.8%	2.9 MB	3.9 MB	2.7 MB	4.1 MB
1238	4e/ad0801	372277	NFCORE_CUTANDRUN:CUTANDRUN:AWK_NAME_PEAK_BED (H3K4_N_R3)	COMPLETED	0	2025-01-24 04:19:11.255	7s	58ms	11.5%	3 MB	3.9 MB	1.1 MB	1.5 MB
1239	d1/e04cdd	373812	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:PRIMARY_PEAK_COUNTS (H3K4_N_R3)	COMPLETED	0	2025-01-24 04:19:12.518	6.3s	0ms	40.2%	3.1 MB	4.3 MB	2.1 MB	2 MB
1241	ce/51aa9e	374871	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:PRIMARY_PEAK_COUNTS (H3K27_N_R2)	COMPLETED	0	2025-01-24 04:19:13.688	5.3s	0ms	55.2%	4.3 MB	8.2 MB	5.4 MB	5.3 MB
1243	b3/8a3437	375384	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:CUT_CALC_REPROD (H3K27_N_R4)	COMPLETED	0	2025-01-24 04:19:13.966	5.4s	54ms	29.7%	3.5 MB	6.4 MB	1.9 MB	555.1 KB
1244	7e/655e32	376433	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:CUT_CALC_REPROD (H3K27_N_R1)	COMPLETED	0	2025-01-24 04:19:15.444	6.7s	50ms	28.5%	3.5 MB	6.4 MB	2.5 MB	738 KB
1246	7d/a09a53	379324	NFCORE_CUTANDRUN:CUTANDRUN:PEAK_QC:CUT_CALC_REPROD (H3K4_N_R3)	COMPLETED	0	2025-01-24 04:19:18.370	4.3s	91ms	12.3%	2.8 MB	3.9 MB	1.6 MB	474.8 KB
1248	38/5d6e83	379428	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:SORT (nH3K4_N)	COMPLETED	0	2025-01-24 04:19:18.471	4.6s	88ms	18.7%	3.8 MB	6.6 MB	211.6 KB	118.9 KB
1250	e2/5ddb51	379333	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:SORT (nH3K27_A)	COMPLETED	0	2025-01-24 04:19:18.394	5.1s	97ms	17.3%	3.8 MB	6.6 MB	284.2 KB	191.4 KB
1253	02/64ad84	379370	NFCORE_CUTANDRUN:CUTANDRUN:CONSENSUS_PEAKS:SORT (H3K4_N)	COMPLETED	0	2025-01-24 04:19:18.443	5.2s	200ms	50.4%	2.9 MB	3.9 MB	4.2 MB	4.1 MB
